"base_id";"activity";"client";"contract";"type_of_service";"status";"order_num";"first_point";"second_point";"speed";"vlan_id";"switchboard_first_point";"switch_port_first_point";"port_settings_first_point";"switchboard_second_point";"switch_port_second_point";"port_settings_second_point";"subnets";"router";"interface";"auto_network";"end_client";"last_mile";"id_servicepipe";"comment";"responsible_department"
3299;"58756";"АО РНКО Платапэй";"Договор № ТБ-УС-011/26";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 001";"	г. Москва, Алтуфьевское ш., д.33Г";"";"300 Мбит/с";"2673";"HP5800-1-ALTUFIEVSKOE33G";"GE1/0/11";"port access vlan 2673  storm-constrain broadcast pps 100 80  storm-constrain control shutdown";"";"";"";"86.110.203.56/29";"R1-TB-M9";"ae0.2673";"";"";"";"";"";"СПД"
3298;"58171";"ООО ""УМНЫЙ РИТЕЙЛ""";"";"Предоставление канала связи";"Эксплуатация";"";"ул. Бутлерова, 7";"";"30 Гбит/с";"3754;3755;3756;2050;2051;2052;3757;3758";"CORE-SW-M9";"Eth-Trunk8, Eth-Trunk9, Eth-Trunk10";"";"";"";"";"";"";"";"";"";"";"";"";"СПД"
3297;"58604";"КРОК ИНКОРПОРЕЙТЕД";"";"Предоставление доступа в интернет";"Эксплуатация";"";"	г.Москва, ул. Волочаевская, д.5, к.1";"";"";"1204";"X74-VOLOCH";"XGigabitEthernet 0/0/15";"interface XGigabitEthernet0/0/15 description BGP_CROC_DEAL58604 port link-type access port default vlan 1204";"";"";"";"185.9.231.20/30";"R1-TB-M9";"ae0.1204";"AS51219";"";"";"";"";"СПД"
3296;"58492";"АО КИБ ЕВРОАЛЬЯНС";"Договор №ТБ-УС-010/26";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 001";"Бутлерова 7";"";"100 Мбит/с";"3098";"X32-M9";"XGigabitEthernet0/0/30";"interface XGigabitEthernet0/0/30 description O1_TRUNK port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 1309 2626 2705 3060 to 3061 3063 3067 3072 3098 3620 3819";"";"";"";"77.238.103.32/29";"R1-TB-M9";"ae0.3098";"";"";"";"";"";"СПД"
3295;"58310";"КРОК ИНКОРПОРЕЙТЕД";"";"Предоставление доступа в интернет";"Эксплуатация";"";"г.Москва, ул. Волочаевская, д.5, к.2";"";"2,5 Гбит/с burst 10 Гбит/с";"2132";"X72-VOLOCH";"XGigabitEthernet 0/0/4";"interface XGigabitEthernet0/0/4 description BGP_CROC_DEAL58310 port link-type access port default vlan 2132 storm-control broadcast min-rate 80 max-rate 100 storm-control interval 15 storm-control action error-down storm-control enable trap storm-control enable log";"";"";"";"86.110.218.116/30";"R1-TB-M9";"ae0.2132";"51219";"";"";"";"";"СПД"
3294;"56431";"ПАО ""РОСТЕЛЕКОМ""";"Договор № 10087906";"Предоставление канала связи";"Эксплуатация";"БЗ 321";"г. Москва, ул. Бутлерова, д. 7";"г. Москва, ул. Воронцово Поле, д. 4А";"500 Мбит/с";"1197 ";"X10-M9";"XGE0/0/26";"port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 1197";"HSW2750-2-VORONTSOVOPOLE4A";"GE0/0/2";"port link-type access  port default vlan 1197";"";"";"";"";"";"";"";"";"СПД"
3293;"55467";"Облачные технологии";"";"L3VPN";"Эксплуатация";"";"г. Москва, ул. Бутлерова, д. 7";"г. Москва, 2-я Звенигородская, д. 28";"1 Гбит/с";"2641;2642";"X95-M9";"XGE1/0/2";" description L3VPN_CLOUD-TECH_DEAL55467  port link-type access  port default vlan 2642";"X95-M9";"XGE1/0/3";" description L3VPN_CLOUD-TECH_DEAL55467-DARK_FIBER-to-2YA-ZVENIGORODSKAYA28  port link-type access  port default vlan 2641";"";"R1-TB-M9";"ae0.2641, ae0.2642";"";"";"";"";"routing-instances L3VPN_CLOUD-TECH_DEAL55467";"СПД"
3292;"55468";"Облачные технологии";"";"L3VPN";"Эксплуатация";"";"г. Москва, 17-й пр-д Марьиной Рощи, д. 4, корп. 1";"г. Москва, 2-я Звенигородская, д. 28";"1 Гбит/с";"2643;2644";"HSW6730-1-MARYNOYROSHI17PRZD";"XGigabitEthernet0/0/4";"";"";"";"";"";"";"";"";"";"";"";"";"СПД"
3291;"56006";"ООО Сервиспайп";"";"Предоставление канала связи";"Эксплуатация";"";"г.Москва, ул. Авиамоторная, д.69";"г.Москва, ул. Боровая, д.7";"1 Гбит/c";"3429";"X14-AVIAMOTORNAYA69";"Eth-Trunk13";" description L2_SERVICE_PIPE_DEAL56006  port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 3429  mode lacp";"X93-BOROVAYA";"Eth-Trunk2";"description CSW2-SP-BOROVAYA_ET7";"";"";"";"";"";"";"";"";"СПД"
3290;"55662";"СОФТЛАЙН";"Дог. №ТБ-УС/37-16";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 071";"г. Москва, Коровинское шоссе, д. 41, стойка 6Н7I130";"";"2 Гбит/с";"2166";"X25-KOROVA-NORD4";"Bridge-Aggregation 10";"interface Bridge-Aggregation10 description DIA_SOFTLINE-DEAL55662 port access vlan 1779 link-aggregation mode dynamic service-instance 1779  encapsulation s-vid 1779";"";"";"";"77.238.102.100/30";"R1-TB-M9";"ae0.2166";"AS65108";"";"";"";"86.110.203.0/27 в PL";"СПД"
3289;"58394";"ПАО ""РОСТЕЛЕКОМ""";"Договор № 10087906";"L2VPN";"Эксплуатация";"БЗ 320";"г. Москва, ул. Бутлерова, д. 7";"Аэропорт Шереметьево имени А.С. Пушкина, городской округ Химки, Московская область, здание Берлин-2";"100 Мбит/с";"2350 ";"X10-M9";"XGE0/0/26";"port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 2350 undo lldp enable ";"X32-M9";"XGE1/0/30";"port link-type trunk  undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 2350";"";"";"";"";"";"";"";"Предоставление L2 (100M) от М9 стык c РТК, до стыка на М9 с РадиоНет до Шереметьево";"СПД"
3288;"54523 // Не пошло в прод";"ПАО ""РОСТЕЛЕКОМ""";"";"";"Отключен";"";"Аэропорт Шереметьево имени А.С. Пушкина, городской округ Химки, Московская область, здание Берлин-2";"";"100 Мбит/с";"2348";"X32-M9";"XGE1/0/30";"";"";"";"";"217.77.104.40/30";"R1-TB-M9";"ae0.2348";"";"";"";"";"Предоставление DIA (100M) от М9 стык с РадиоНет до Шереметьево";"СПД"
3287;"56370";"ООО ""ИНФЕРИТ""";"";"Предоставление доступа в интернет";"Эксплуатация";"";"г. Москва, Алтуфьевское ш., д. 33Г";"";"100 Мбит/с";"3574";"X98-AlTUFIEVSKOE33G";"Eth-Trunk7";"description DIA_INFERIT_DEAL56370  port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 3574  mode lacp";"";"";"";"P2P-10.65.105.16/31 , Анонс в BGP - 86.110.203.128/27";"BR1-TB-M9";"ae0.3574";"AS65020";"";"";"";"Идет в обход ТСПУ т.к. клиент CDN.";"СПД"
3286;"55508";"ООО АЕЗА ГРУПП";"Договор № ТБ-УС-189/25";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 001";"г. Москва, ул. Угрешская, д. 2с. 147";"";"10G + burst 40G (открытая полоса до 40G)";"3775; 3960";"HSW6730-1-UGRESHSKAYA2S147";"100GE0/0/6";"port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 3775 3960  storm-control broadcast min-rate 80 max-rate 100  storm-control interval 15  storm-control action error-down  storm-control enable trap  storm-control enable log";"";"";"";"10.77.0.97/30; 10.77.0.197/30";"BR1-TB-M9; BR1-TB-BOROVAYA";"ae0.3960 (BR1-M9); ae3.3775 (BR1-BOROVAYA)";"";"";"";"";"";"СПД"
3285;"55669";"ЯКОВ И ПАРТНЁРЫ";"№ТБ-УС-029/25";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 002";"1-я Тверская-Ямская улица, д.21";"";"7 Гбит/с";"1114";"HSW5720-1TVER-YAM21";"XGigabitEthernet0/0/2";"interface XGigabitEthernet0/0/2 description DIA_YAKOV-PARTNERS_DEAL55669 port link-type access port default vlan 1114 storm-control broadcast min-rate 80 max-rate 100 storm-control interval 15 storm-control action error-down storm-control enable trap storm-control enable log";"";"";"";"77.238.103.48/28";"R1-TB-M9 R1-TB-BOROVAYA";"ae0.1114";"";"";"";"";"VRRP-GROUP 38";"СПД"
3284;"55995";"ООО Сервиспайп";"";"Предоставление канала связи";"Эксплуатация";"";"г.Москва, ул.1-я Магистральная, д.12, Машзал №6, стойка J02";"г.Москва, ул. Бутлерова, д.7";"1 Гбит/с";"3727";"HSW6730-1-1MAGISTRALNAYA12";"XGigabitEthernet0/0/10";"description L2_SERVICE_PIPE_DEAL55995  port link-type access  port default vlan 3727";"X92-M9";"interface Eth-Trunk2";"description CSW3-SP-M9_ET7  port link-type trunk";"";"";"";"";"";"";"";"";"СПД"
3283;"55781";"ООО Сервиспайп";"";"Предоставление канала связи";"Эксплуатация";"";"г.Москва, ул.1-я Магистральная, д.12, Машзал №6, стойка J02";"г.Москва, ул. Боровая, д.7";"1 Гбит/с";"3726";"HSW6730-1-1MAGISTRALNAYA12";"XGigabitEthernet1/0/10";"description L2_SERVICE_PIPE_DEAL55781  port link-type access  port default vlan 3726";"X93-BOROVAYA";"interface Eth-Trunk2";"description CSW2-SP-BOROVAYA_ET7  port link-type trunk";"";"";"";"";"";"";"";"";"СПД"
3282;"55836 // Задача расформирования - 58570";"ООО ""ИНФЕРИТ""";"";"Предоставление канала связи";"Отключен";"";"г. Москва, Алтуфьевское ш., д. 33Г";"г. Москва, ул. Подольских Курсантов, д. 15Б, стр. 4";"1 Гбит/с";"3363";"X98-AlTUFIEVSKOE33G";"EtherTrunk4";"interface Eth-Trunk4  description L2_INFERIT_DEAL55836  port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 3363  traffic-policy ETH4 inbound  traffic-policy ETH4 outbound";"X64-PODKURSANTOV15B";"Eth-Trunk2";"description L2_INFERIT_DEAL55836  port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 3363";"";"";"";"";"";"";"";"";"СПД"
3281;"56007";"ООО Сервиспайп";"";"Предоставление канала связи";"Эксплуатация";"";"г.Москва, Алтуфьевское шоссе, 33 Г ";"г.Москва, ул. Бутлерова, 7";"1 Гбит";"2345";"X98-AlTUFIEVSKOE33G";"Eth-Trunk5";"description L2_SERVICE_PIPE_DEAL56007 port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 2345";"X92-M9";"Eth-Trunk2";"description CSW3-SP-M9_ET7 port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 2345";"";"";"";"";"";"";"";"";"СПД"
3280;"55836";"ООО ""ИНФЕРИТ""";"";"Предоставление канала связи";"";"";"";"";"";"3363";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"СПД"
3279;"54666";"ООО Спикател";"";"Предоставление канала связи";"Эксплуатация";"";"г. Москва, ул. Пресненская набережная, д. 7";"г. Москва, ул. Подольских курсантов, д. 15Б";"500 Мбит/с";"2171";"X32-M9";"XGigabitEthernet1/0/11";"description RESERVE_TRUNK_CITY-TELECOM port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 2171 2805";"X44-1-PODKURSANTOV15B";"interface Eth-Trunk12";"description TRUNK_CLOUDSTACK port link-type trunk";"";"";"";"";"";"";"";"Конечный клиент: ООО БУМЕРАНГ КАПИТАЛ Отдаем в ОПМ Сити-Телеком на М9 ";"СПД"
3278;"56041";"ООО ТЕЛЕПОРТ РУСЬ";"";"Аренда оборудования";"Эксплуатация";"";"г. Москва, Подольских Курсантов 15Б, стр.1";"";"";"";"";"";"";"";"";"";"";"Juniper MX204-HWBASE-AC-FS, s/n GB901";"";"";"";"";"";"Аренда MX204, полностью под управлением клиента";"СПД"
3277;"MGMT FOR ESXI";"";"";"";"";"";"";"";"";"3838";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3276;"47573 42971 47573";"ООО ""БИЗНЕС СИСТЕМА ТЕЛЕХАУС""";"Договор № ТБ-УС- 112/23";"";"";"БЗ 003";"г. Москва, ул. Шарикоподшипниковская, д.11/9";"";"1 Гбит/с";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MMR.A5-MMR.F8-302.Z2-302.B8 (2460) услуга под ключ от ЭРТХ (ООО ""КРОНИКС ПЛЮС"") дог. 2023/12-01 от 01.02.24 Защищаемый ресурс: 5.104.202.73, 5.39.161.144/28";""
3275;"47574 42970 47574";"ООО ""БИЗНЕС СИСТЕМА ТЕЛЕХАУС""";"Договор № ТБ-УС- 112/23";"";"Эксплуатация";"БЗ 004";"г. Москва, Волгоградский проспект, д. 42, корп. 9";"";"1 Гбит/с";"";"";"";"";"";"";"";"";"";"";"";"";"";"5.104.202.73 - ничего вообще не нашел по данному префиксу  5.39.161.144/28 - ertelecom-E20231201-transit-31026 b2b ATS 14.05.2024 Arbor 185.79.238.0/24  5.39.161.128/28  5.39.161.144/28";"услуга под ключ от ЭРТХ (ООО ""КРОНИКС ПЛЮС"") дог. 2023/12-01 от 01.02.24 Защищаемый ресурс: 5.104.202.73, 5.39.161.144/28";""
3274;"55718";"АО К2 Интеграция";"Договор № ТБ-УС-06/23";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 032";"КРОК Компрессор, 2-я ул. Энтузиастов, 5, корп. 6";"";"30 Мбит/с";"2467";"X1-KOMPRESSOR";"GE1/0/11";"storm-constrain broadcast pps 100 80  storm-constrain control shutdown  service-instance 2467   encapsulation untagged   xconnect peer 10.110.255.71 pw-id 2467 mtu 1600 access-mode ethernet";"";"";"";"86.110.218.112/30";"R1-TB-M9";"ae0.2467";"";"";"";"";"";"СПД"
3273;"55065";"ЭР-ТЕЛЕКОМ ХОЛДИНГ";"";"Предоставление канала связи";"Эксплуатация";"";"г. Москва, Фуркасовский переулок, д. 6";"г. Москва, ул. Бутлерова, д. 7";"100 Мбит/с";"3401";"HSW2350-1-FURKASOVSKYPRD6";"GE0/0/2";"interface GigabitEthernet0/0/2 description L2_TELECOM-HOLDING_DEAL55065 port link-type access port default vlan 3401";"Leo-m9";"ae19.3401";"[edit interfaces ae19] +    unit 3401 { +        description L2_ER-TELECOM_DEAL55065; +        encapsulation vlan-ccc; +        vlan-id 3401; +        family ccc; +    } [edit protocols l2circuit neighbor 10.110.255.57]      interface ae19.2165 { ... } +     interface ae19.3401 { +         virtual-circuit-id 3401; +         description L2_ER-TELECOM_DEAL55065; +         mtu 1600; +     }";"";"";"";"";"";"";"";"";"СПД"
3272;"55605";"ЭР-ТЕЛЕКОМ ХОЛДИНГ";"№ТБ-УС/08-13 ";"Предоставление канала связи";"Эксплуатация";"№59";"г. Москва, Фуркасовский переулок, д. 6";"г. Москва, 3-й проезд Марьиной рощи, д. 40 стр. 1";"100 Мбит/с";"3402";"HSW2750-1-FURKASOVSKYPRD6";"GE0/0/2";"interface GigabitEthernet0/0/2 description L2_TELECOM-HOLDING_DEAL55605 port link-type access port default vlan 3402";"HSW5331-2-TECHNOGOROD";"XGE0/0/3";"interface XGigabitEthernet0/0/3 description TRUNK_TELECOM-HOLDING_asw03_XGE4/0/14 port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 500 2600 2604 3402";"";"";"";"";"";"";"";"";"СПД"
3271;"55809";"АО ИНВЕСТКОНСАЛТ";"";"Предоставление доступа в интернет";"Эксплуатация";"";"г. Москва, Варшавское ш., д. 125, стр. 16";"";"500 Мбит/с";"2704";"HP5800-1-VARSH125S16";"GigabitEthernet2/0/3";"port link-mode bridge  description DIA_INVEST_DEAL55809  port access vlan 2704  storm-constrain broadcast pps 100 80  storm-constrain control block";"";"";"";"77.238.99.160/29";"R1-TB-BOROVAYA";"ae0.2704";"";"";"";"";"Резерв услуги 53051";"СПД"
3270;"";"Ашан";"";"Предоставление доступа в интернет";"Эксплуатация";"";"";"";"10 Мбит/с";"78";"X1-KOMPRESSOR";"Ten-GigabitEthernet1/0/26";"port link-mode bridge  description DATAPARK_MGMT_SW_HIMKI  port link-type trunk  undo port trunk permit vlan 1  port trunk permit vlan 4082  service-instance 78   encapsulation s-vid 78   xconnect peer 10.110.255.51 pw-id 78 mtu 1600";"";"";"";"77.238.101.68/30";"R1-M9-OLD";"ae3.78";"";"";"";"";"";"СПД"
3269;"55179";"ООО ""ОЗОН БАНК""";"Договор № ТБ-УС-117/22";"Предоставление доступа в интернет";"Эксплуатация ";"БЗ 004";"г. Москва, ул Чермянская, д. 4 стр. 1";"";"1 Гбит/с";"1955";"X43-CHERMYANSKAYA4S1";"XGE0/0/11";"port link-type access  port default vlan 1955  storm-control broadcast min-rate 80 max-rate 100  storm-control interval 15  storm-control action error-down  storm-control enable trap  storm-control enable log";"";"";"";"100.64.11.32/31";"";"";"";"";"";"";"";"СПД"
3268;"53821";"ООО ПМБК";"";"Предоставление канала связи";"Эксплуатация";"";"Алтуфьевское, 33Г";"Авиамоторная, 69";"";"2196";"HP5940-1-ALTUFIEVSKOE33G";"Bridge-Aggregation11";"port trunk allow-pass vlan 2196";"X91-AVIAMOTORNAYA69";"Eth-Trunk3";"port trunk allow-pass vlan 2196";"";"";"";"";"";"";"";"";"СПД"
3267;"55531";"РОСТЕЛЕКОМ";"";"Предоставление канала связи";"Эксплуатация";"";"г. Москва, Северо-Западный АО, Хорошево-Мневники район, пр. Силикатный 1-й, д. 27";"г. Москва, ул. Бутлерова, д. 7";"300Мбит/с";"3342";"HSW5320-1-1SILIKATNIYPRZD27S2";"GigabitEthernet0/0/14 GigabitEthernet0/0/15 GigabitEthernet0/0/16";"description L2_RTK_DEAL55531 port link-type access port default vlan 3342 stp bpdu-filter enable stp edged-port enable";"X10-M9";"XGigabitEthernet0/0/26";"description ROSTELECOM_TRUNL_xconnect2884_M7-ASW4@ xe-8/0/1 port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 3342";"";"";"";"";"";"";"";"";"СПД"
3266;"55382";"ООО ""ФАЛЬКОН""";"Договор № ТБ-УС-191/25";"Предоставление канала связи";"Эксплуатация ";"БЗ 001";"г. Москва, 117485, ул. Бутлерова, д. 7.";"Science Park 105, 1098 XG, Amsterdam, Netherlands";"100 Мбит/с";"1952";"X10-M9";"XGE0/0/3";"port link-type trunk  undo port trunk allow-pass vlan 1  port trunk allow-pass vlan 1952";"X35-M9";"XGE2/0/2";"port trunk allow-pass vlan 1952 ";"";"";"";"";"";"";"";"С X35-M9 канал уходит в ОПМа, в Амстердам ";"СПД"
3265;"55562";"АО ""ЦХД""";"";"Предоставление доступа в интернет";"Эксплуатация";"";"г. Москва, Варшавское ш., 125, стр. 16";"";"1,5 Гбит/с";"3746;3747;3748;3749";"HP5800-2-VARSH125S16";"interface Ten-GigabitEthernet1/1/1 , Ten-GigabitEthernet 1/1/4";"port link-type trunk undo port trunk permit vlan 1 port trunk permit vlan 2284 2286 3746 to 3747 , port trunk permit vlan 2283 2285 3748 to 3749";"";"";"";"";"";"";"";"";"";"";"Сессия на стороне СП, в ЗО ТБ L2 до стыка";"СПД"
3264;"55563";"АО ""ЦХД""";"";"Предоставление доступа в интернет";"Эксплуатация";"";"г. Москва, Чермянский проезд, д. 5А с. 1";"";"1,5 Гбит/с";"3750;3751;3752;3753";"X77-CHERMYANSKIY5A1";"XGigabitEthernet0/0/13, XGigabitEthernet1/0/13";"port link-type trunk port trunk allow-pass vlan 1171 1697 3750 to 3751 , port trunk allow-pass vlan 2299 2382 3752 to 3753";"";"";"";"";"";"";"";"";"";"";"Сессия на стороне СП, в ЗО ТБ  L2 до стыка ";"СПД"
3263;"55075";"АО ЭР-ТЕЛЕКОМ ХОЛДИНГ";"Дог. №ТБ-УС/08-13";"Предоставление канала связи";"Эксплуатация ";"БЗ 057";"г. Москва, ул. Большая Якиманка, д. 42 с. 1-2";"г. Москва, ул. Бутлерова, д. 7";"100 Мбит/с";"2165";"HSW5700-1-BYAKIMANKA42-1-2";"GE0/0/3";"port link-type access  port default vlan 2165";"Leo-m9";"xe-0/1/3 (ae19)";"+vlan-id 2165; +family ccc; +interface ae19.2165; +virtual-circuit-id 2165;";"";"";"";"";"";"";"";"Стык с ЭР-Телеком на М9";"СПД"
3262;"55418";"ООО ""ИТ ФАКТОР""";"";"Предоставление подсети IP-адресов";"Эксплуатация ";"";"";"";"";"";"";"";"";"";"";"";"93.189.227.0/24";"";"";"AS51219";"";"";"";"Это задача LIR (RIPE)";"СПД"
3261;"55101";"ТБАНК";"Дог. №ТБ-УС/19-14";"Предоставление доступа в интернет";"Эксплуатация";"БЗ 002";"г. Москва, ш Алтуфьевское, д. 33Ж";"";"1 Гбит/с";"1040";"";"";"";"X98-AlTUFIEVSKOE33G";"XGigabitEthernet 0/0/9 // XGigabitEthernet 1/0/9 // XGigabitEthernet 1/0/9 ";"interface XGigabitEthernet0/0/9 description DIA_TBANK_DEAL55101 port link-type trunk undo port trunk allow-pass vlan 1 port trunk allow-pass vlan 1040 storm-control broadcast min-rate 80 max-rate 100 storm-control interval 15 storm-control action error-down storm-control enable trap storm-control enable log";"185.79.116.152/29";"R1-TB-M9 R1-TB-BOROVAYA";"ae0.1040";"";"";"";"";"VRRP-GROUP 17";"СПД"
3260;"55129";"СОВКОМБАНК";"Договор № ТБ-УС-13/21";"Предоставление канала связи";"Эксплуатация";"БЗ 004";"г. Москва, Алтуфьевское шоссе, д.33Г";"г. Москва, ул. Чермянская, дом 4, стр. 1";"600 Мбит/с";"2140";"X98-AlTUFIEVSKOE33G";"XGE0/0/40";"port link-type dot1q-tunnel  port default vlan 2140";"X61-CHERMYANKA";"XGE0/0/40";"port link-type dot1q-tunnel  port default vlan 2140";"";"";"";"";"";"";"";"";"СПД"
